# z u u_p F_integral F_diff k du_dz
1.799999999999999933e-01 2.550945289845561511e-06 2.551299097157997945e-06 3.365710882735310605e+01 3.363747326272599736e+01 1.994965382480264395e+02 -2.348695814963534193e-07
1.849999999999999978e-01 2.549722732242077994e-06 2.550096420108725237e-06 3.650654494253457472e+01 3.648632276862601742e+01 1.994382784073432617e+02 -2.546869289436297357e-07
1.900000000000000022e-01 2.548398420556125214e-06 2.548792554310508668e-06 3.951345176919466695e+01 3.949263620566659938e+01 1.993751111421771327e+02 -2.755847056480821176e-07
1.950000000000000067e-01 2.546966885185597173e-06 2.547382032992377445e-06 4.268210417142984170e+01 4.266068789673572326e+01 1.993067701918500916e+02 -2.975897371601331193e-07
2.000000000000000111e-01 2.545422523184523883e-06 2.545859256269314187e-06 4.601677912640513313e+01 4.599475424595481599e+01 1.992329826205693450e+02 -3.207285225662585447e-07
2.050000000000000155e-01 2.543759599959934588e-06 2.544218492851356928e-06 4.952175583043815266e+01 4.949911384393375613e+01 1.991534688746969266e+02 -3.450272079885029008e-07
2.099999999999999922e-01 2.541972251104638854e-06 2.542453881888893423e-06 5.320131580219629086e+01 5.317804757015812100e+01 1.990679428445625945e+02 -3.705115586998583132e-07
2.149999999999999967e-01 2.540054484372936004e-06 2.540559434961224733e-06 5.705974298153441993e+01 5.703583869094494929e+01 1.989761119310507240e+02 -3.972069298207785506e-07
2.200000000000000011e-01 2.538000181806431068e-06 2.538529038215554227e-06 6.110132382256404071e+01 6.107677295165324693e+01 1.988776771171910980e+02 -4.251382355653608860e-07
2.250000000000000056e-01 2.535803102017282396e-06 2.536356454663697096e-06 6.533034737909822809e+01 6.530513866119369482e+01 1.987723330449951504e+02 -4.543299170029333107e-07
2.300000000000000100e-01 2.533456882636401735e-06 2.534035326644081137e-06 6.975110538054116205e+01 6.972522676687363230e+01 1.986597680977770324e+02 -4.848059083025210372e-07
2.350000000000000144e-01 2.530955042934257185e-06 2.531559178456648989e-06 7.436789229613755481e+01 7.434133091768721613e+01 1.985396644882113435e+02 -5.165896014301649716e-07
2.399999999999999911e-01 2.528290986622100086e-06 2.528921419178469341e-06 7.918500538500991581e+01 7.915774751335696635e+01 1.984116983523801991e+02 -5.497038092655920035e-07
2.449999999999999956e-01 2.525458004841601265e-06 2.526115345668085716e-06 8.420674472934778976e+01 8.417877573642680034e+01 1.982755398500536046e+02 -5.841707271069815973e-07
2.500000000000000000e-01 2.522449279351030270e-06 2.523134145766697077e-06 8.943741324789202451e+01 8.940871756459694097e+01 1.981308532714838009e+02 -6.200118925343942896e-07
2.550000000000000044e-01 2.519257885916257322e-06 2.519970901704419510e-06 9.488131668624738779e+01 9.485187775999047233e+01 1.979772971509517276e+02 -6.572481436015383140e-07
2.600000000000000089e-01 2.515876797915014886e-06 2.516618593720141241e-06 1.005427635805361319e+02 1.005125638316240924e+02 1.978145243873540551e+02 -6.958995753257199798e-07
2.650000000000000133e-01 2.512298890163000122e-06 2.513070103903447240e-06 1.064260651904675541e+02 1.063950859672237499e+02 1.976421823720887403e+02 -7.359854944479833654e-07
2.700000000000000178e-01 2.508516942970535053e-06 2.509318220267370901e-06 1.125355353972876458e+02 1.125037569299353066e+02 1.974599131245097965e+02 -7.775243724348096140e-07
2.750000000000000222e-01 2.504523646438652026e-06 2.505355641060839941e-06 1.188754905619823319e+02 1.188428919153068648e+02 1.972673534352368563e+02 -8.205337966952872149e-07
2.800000000000000266e-01 2.500311605003582181e-06 2.501174979329739608e-06 1.254502493385096926e+02 1.254168083631689257e+02 1.970641350175851301e+02 -8.650304199863941088e-07
2.850000000000000311e-01 2.495873342238788085e-06 2.496768767735747916e-06 1.322641324363063404e+02 1.322298257187290176e+02 1.968498846674091283e+02 -9.110299079813194390e-07
2.899999999999999800e-01 2.491201305923768986e-06 2.492129463642146768e-06 1.393214623259245286e+02 1.392862651369050582e+02 1.966242244316237873e+02 -9.585468849782515226e-07
2.949999999999999845e-01 2.486287873389005570e-06 2.487249454475918715e-06 1.466265628808907877e+02 1.465904491226959863e+02 1.963867717857042976e+02 -1.007594877723797536e-06
2.999999999999999889e-01 2.481125357146531011e-06 2.482121063375680062e-06 1.541837589485717217e+02 1.541467011005558447e+02 1.961371398204409502e+02 -1.058186257331680211e-06
3.049999999999999933e-01 2.475706010815688768e-06 2.476736555134852812e-06 1.619973758419773446e+02 1.619593449047005151e+02 1.958749374382249755e+02 -1.110332179276043941e-06
3.099999999999999978e-01 2.470022035353770572e-06 2.471088142449856568e-06 1.700717387437240404e+02 1.700327041814162499e+02 1.955997695591682373e+02 -1.164042521439253260e-06
3.150000000000000022e-01 2.464065585601296235e-06 2.465167992482956229e-06 1.784111720128098568e+02 1.783711016943125287e+02 1.953112373373311925e+02 -1.219325820199868837e-06
3.200000000000000067e-01 2.457828777151771883e-06 2.458968233749610551e-06 1.870199983838913909e+02 1.869788585219218078e+02 1.950089383873443296e+02 -1.276189204543309768e-06
3.250000000000000111e-01 2.451303693555863138e-06 2.452480963340172562e-06 1.959025380479921239e+02 1.958602931366380062e+02 1.946924670217068467e+02 -1.334638328182835465e-06
3.300000000000000155e-01 2.444482393869943528e-06 2.445698254485855937e-06 2.050631076025421464e+02 2.050197203530893546e+02 1.943614144990531827e+02 -1.394677299680936868e-06
3.350000000000000200e-01 2.437356920559053769e-06 2.438612164478965697e-06 2.145060188578761711e+02 2.144614501327815788e+02 1.940153692836607036e+02 -1.456308610561734922e-06
3.400000000000000244e-01 2.429919307764326179e-06 2.431214742957290822e-06 2.242355774859876192e+02 2.241897862310267726e+02 1.936539173164690055e+02 -1.519533061409304096e-06
3.450000000000000289e-01 2.422161589944960728e-06 2.423498040562760484e-06 2.342560814963125324e+02 2.342090246708595203e+02 1.932766422979159131e+02 -1.584349685948871657e-06
3.500000000000000333e-01 2.414075810904837463e-06 2.415454117984267001e-06 2.445718195221739393e+02 2.445234520275633940e+02 1.928831259828198768e+02 -1.650755673111527948e-06
3.549999999999999822e-01 2.405654033213845448e-06 2.407075055394678854e-06 2.551870689000562891e+02 2.551373435059627752e+02 1.924729484876173728e+02 -1.718746287086174630e-06
3.599999999999999867e-01 2.396888348033975716e-06 2.398352962291929088e-06 2.661060935225540902e+02 2.660549607914369972e+02 1.920456886101969474e+02 -1.788314785367265913e-06
3.649999999999999911e-01 2.387770885360172789e-06 2.389279987754061840e-06 2.773331414442903906e+02 2.772805496537675936e+02 1.916009241625823165e+02 -1.859452334808973044e-06
3.699999999999999956e-01 2.378293824685885986e-06 2.379848331117974484e-06 2.888724422184036484e+02 2.888183372815846610e+02 1.911382323167447055e+02 -1.932147925703220931e-06
3.750000000000000000e-01 2.368449406103140580e-06 2.370050253091557738e-06 3.007282039395566358e+02 3.006725293233428715e+02 1.906571899637576166e+02 -2.006388283902942125e-06
3.800000000000000044e-01 2.358229941846856565e-06 2.359878087308673075e-06 3.129046099674333732e+02 3.128473066087398706e+02 1.901573740865556772e+02 -2.082157781016933249e-06
3.850000000000000089e-01 2.347627828292971248e-06 2.349324252336389806e-06 3.254058153027375511e+02 3.253468215226332063e+02 1.896383621465185740e+02 -2.159438342709475207e-06
3.900000000000000133e-01 2.336635558419761813e-06 2.338381264143493878e-06 3.382359425853921948e+02 3.381751940011291708e+02 1.890997324840981264e+02 -2.238209355143003056e-06
3.950000000000000178e-01 2.325245734741541217e-06 2.327041749039290949e-06 3.513990776824026625e+02 3.513365071174367813e+02 1.885410647337100158e+02 -2.318447569611047643e-06
4.000000000000000222e-01 2.313451082723651336e-06 2.315298457091155463e-06 3.648992648303262740e+02 3.648348022223324278e+02 1.879619402530813375e+02 -2.400127005414557963e-06
4.050000000000000266e-01 2.301244464687395637e-06 2.303144276029198617e-06 3.787405012943973475e+02 3.786740736012656612e+02 1.873619425672504235e+02 -2.483218851042548250e-06
4.100000000000000311e-01 2.288618894213225854e-06 2.290572245645882257e-06 3.929267315036132686e+02 3.928582626075331063e+02 1.867406578273910043e+02 -2.567691363728982925e-06
4.150000000000000355e-01 2.275567551050105808e-06 2.277575572698080425e-06 4.074618406178618102e+02 4.073912512275832114e+02 1.860976752846266038e+02 -2.653509767466198091e-06
4.199999999999999845e-01 2.262083796538563873e-06 2.264147646318503757e-06 4.223496474797186693e+02 4.222768550310620412e+02 1.854325877789867434e+02 -2.740636149565365073e-06
4.249999999999999889e-01 2.248161189554452157e-06 2.250282053942963121e-06 4.375938968998611927e+02 4.375188154546884789e+02 1.847449922436303495e+02 -2.829029355866656382e-06
4.299999999999999933e-01 2.233793502979897309e-06 2.235972597759254368e-06 4.531982512212462666e+02 4.531207913649478769e+02 1.840344902244661967e+02 -2.918644884713421199e-06
4.349999999999999978e-01 2.218974740707317945e-06 2.221213311682777710e-06 4.691662811027979956e+02 4.690863498405658447e+02 1.833006884152601117e+02 -3.009434779819204097e-06
4.400000000000000022e-01 2.203699155181705268e-06 2.205998478863240412e-06 4.855014554587860971e+02 4.854189561108578914e+02 1.825431992083119610e+02 -3.101347522169230908e-06
